modal	service	duration	km_category	route_id	capture_time	city	image_id
ridesharing	99Comfort	31	13.5	355030838000198355030871000087	2020-08-02 02:26:38	sp	./volume_sp/images/app/app_v0_236d8c96_13.5_355030838000198355030871000087_2020-08-02_02-26_1596345998.png
ridesharing	99Pop	31	14.5	355030838000198355030871000090	2020-08-02 02:33:26	sp	./volume_sp/images/app/app_v0_236d8c96_14.5_355030838000198355030871000090_2020-08-02_02-33_1596346406.png
ridesharing	99Comfort	31	14.5	355030838000198355030871000090	2020-08-02 02:33:26	sp	./volume_sp/images/app/app_v0_236d8c96_14.5_355030838000198355030871000090_2020-08-02_02-33_1596346406.png
ridesharing	99Pop	32	14.5	355030838000198355030871000090	2020-08-02 11:37:52	sp	./volume_sp/images/app/app_v0_236d8c96_14.5_355030838000198355030871000090_2020-08-02_11-37_1596379072.png
ridesharing	99Pop	6	3.5	355030815000030355030815000002	2020-08-02 15:03:52	sp	./volume_sp/images/app/app_v0_236d8c96_3.5_355030815000030355030815000002_2020-08-02_15-03_1596391432.png
ridesharing	99Pop	10	1.0	355030838000198355030838000195	2020-08-02 02:06:14	sp	./volume_sp/images/app/app_v0_d1568d9c_1.0_355030838000198355030838000195_2020-08-02_02-06_1596344774.png
ridesharing	99Comfort	10	1.0	355030838000198355030838000195	2020-08-02 02:06:14	sp	./volume_sp/images/app/app_v0_d1568d9c_1.0_355030838000198355030838000195_2020-08-02_02-06_1596344774.png
ridesharing	99Pop	11	1.0	355030838000198355030838000195	2020-08-02 03:10:39	sp	./volume_sp/images/app/app_v0_d1568d9c_1.0_355030838000198355030838000195_2020-08-02_03-10_1596348639.png
ridesharing	99Comfort	11	1.0	355030838000198355030838000195	2020-08-02 03:10:39	sp	./volume_sp/images/app/app_v0_d1568d9c_1.0_355030838000198355030838000195_2020-08-02_03-10_1596348639.png
ridesharing	99Pop	11	1.0	355030838000198355030838000195	2020-08-02 04:10:40	sp	./volume_sp/images/app/app_v0_d1568d9c_1.0_355030838000198355030838000195_2020-08-02_04-10_1596352240.png
ridesharing	99Comfort	11	1.0	355030838000198355030838000195	2020-08-02 04:10:40	sp	./volume_sp/images/app/app_v0_d1568d9c_1.0_355030838000198355030838000195_2020-08-02_04-10_1596352240.png
ridesharing	99Pop	11	1.0	355030838000198355030838000195	2020-08-02 05:10:40	sp	./volume_sp/images/app/app_v0_d1568d9c_1.0_355030838000198355030838000195_2020-08-02_05-10_1596355840.png
ridesharing	99Comfort	11	1.0	355030838000198355030838000195	2020-08-02 05:10:40	sp	./volume_sp/images/app/app_v0_d1568d9c_1.0_355030838000198355030838000195_2020-08-02_05-10_1596355840.png
ridesharing	99Pop	7	2.5	355030815000030355030815000059	2020-08-02 12:14:38	sp	./volume_sp/images/app/app_v0_8369c0d9_2.5_355030815000030355030815000059_2020-08-02_12-14_1596381278.png
ridesharing	99Pop	7	2.5	355030815000030355030815000059	2020-08-02 13:10:39	sp	./volume_sp/images/app/app_v0_8369c0d9_2.5_355030815000030355030815000059_2020-08-02_13-10_1596384639.png
ridesharing	99Pop	8	3.0	355030815000030355030815000028	2020-08-02 13:47:23	sp	./volume_sp/images/app/app_v0_8369c0d9_3.0_355030815000030355030815000028_2020-08-02_13-47_1596386843.png
ridesharing	99Pop	6	3.0	355030815000030355030815000028	2020-08-02 15:03:52	sp	./volume_sp/images/app/app_v0_8369c0d9_3.0_355030815000030355030815000028_2020-08-02_15-03_1596391432.png
ridesharing	99Pop	11	3.0	355030815000030355030815000138	2020-08-02 01:53:13	sp	./volume_sp/images/app/app_v0_8369c0d9_3.0_355030815000030355030815000138_2020-08-02_01-53_1596343993.png
ridesharing	99Comfort	11	3.0	355030815000030355030815000138	2020-08-02 01:53:13	sp	./volume_sp/images/app/app_v0_8369c0d9_3.0_355030815000030355030815000138_2020-08-02_01-53_1596343993.png
ridesharing	99Pop	12	3.0	355030838000198355030838000049	2020-08-02 16:03:44	sp	./volume_sp/images/app/app_v0_8369c0d9_3.0_355030838000198355030838000049_2020-08-02_16-03_1596395024.png
ridesharing	99Pop	9	3.5	355030815000030355030815000010	2020-08-02 12:21:26	sp	./volume_sp/images/app/app_v0_8369c0d9_3.5_355030815000030355030815000010_2020-08-02_12-21_1596381686.png
