modal	service	distance	km_category	route_id	capture_time	city	image_id
mocycle	mocycle	19000	14.0	355030838000198355030871000089	2020-08-02 15:36:12	sp	./volume_sp/images/modal/mocycle_v0_836cc001_14.0_355030838000198355030871000089_2020-08-02_15-36_1596393372.png
bicycle	bicycle	9800	12.5	355030815000030355030871000089	2020-08-02 04:50:22	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_12.5_355030815000030355030871000089_2020-08-02_04-50_1596354622.png
bicycle	bicycle	9800	12.5	355030815000030355030871000089	2020-08-02 05:50:21	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_12.5_355030815000030355030871000089_2020-08-02_05-50_1596358221.png
bicycle	bicycle	9800	12.5	355030815000030355030871000089	2020-08-02 06:50:22	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_12.5_355030815000030355030871000089_2020-08-02_06-50_1596361822.png
bicycle	bicycle	9800	12.5	355030815000030355030871000089	2020-08-02 07:50:22	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_12.5_355030815000030355030871000089_2020-08-02_07-50_1596365422.png
bicycle	bicycle	9800	12.5	355030815000030355030871000089	2020-08-02 08:50:21	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_12.5_355030815000030355030871000089_2020-08-02_08-50_1596369021.png
bicycle	bicycle	9800	12.5	355030815000030355030871000089	2020-08-02 12:40:44	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_12.5_355030815000030355030871000089_2020-08-02_12-40_1596382844.png
bicycle	bicycle	11000	13.0	355030838000198355030871000004	2020-08-02 16:43:26	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_13.0_355030838000198355030871000004_2020-08-02_16-43_1596397406.png
bicycle	bicycle	11000	13.0	355030838000198355030871000016	2020-08-02 10:04:36	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_13.0_355030838000198355030871000016_2020-08-02_10-04_1596373476.png
bicycle	bicycle	11000	13.0	355030838000198355030871000016	2020-08-02 11:50:22	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_13.0_355030838000198355030871000016_2020-08-02_11-50_1596379822.png
